,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,fact1,fact2,answer
195,The place of birth of Amalie Auguste of Bavaria is,The place of birth of the mother of Princess Margaretha of Saxony is,Amalie Auguste of Bavaria,the mother of Princess Margaretha of Saxony,"['Princess Margaretha of Saxony', 'mother', 'Amalie Auguste of Bavaria']","['Amalie Auguste of Bavaria', 'place of birth', 'Munich']",Munich
196,The date of death of Johann Sebastian Bach is,The date of death of the composer of Through a Glass Darkly is,Johann Sebastian Bach,the composer of Through a Glass Darkly,"['Through a Glass Darkly', 'composer', 'Johann Sebastian Bach']","['Johann Sebastian Bach', 'date of death', '28 July 1750']",28 July 1750
197,The place of death of Norodom Suramarit is,The place of death of the spouse of Sisowath Kossamak is,Norodom Suramarit,the spouse of Sisowath Kossamak,"['Sisowath Kossamak', 'spouse', 'Norodom Suramarit']","['Norodom Suramarit', 'place of death', 'Phnom Penh']",Phnom Penh
198,"The date of death of Peter Browne, 2nd Earl of Altamont is","The date of death of the father of John Denis Browne, 1st Marquess of Sligo is","Peter Browne, 2nd Earl of Altamont","the father of John Denis Browne, 1st Marquess of Sligo","['John Denis Browne, 1st Marquess of Sligo', 'father', 'Peter Browne']","['Peter Browne, 2nd Earl of Altamont', 'date of death', '28 December 1780']",28 December 1780
199,The spouse of Samuel Benchetrit is,The spouse of the director of Macadam Stories is,Samuel Benchetrit,the director of Macadam Stories,"['Macadam Stories', 'director', 'Samuel Benchetrit']","['Samuel Benchetrit', 'spouse', 'Vanessa Paradis']",Vanessa Paradis
200,The country of citizenship of Andrew Lau is,The country of citizenship of the director of A Man Called Hero is,Andrew Lau,the director of A Man Called Hero,"['A Man Called Hero', 'director', 'Andrew Lau']","['Andrew Lau', 'country of citizenship', 'China']",China
201,The country of citizenship of John Reinhardt is,The country of citizenship of the director of They Call It Love is,John Reinhardt,the director of They Call It Love,"['They Call It Love', 'director', 'John Reinhardt']","['John Reinhardt', 'country of citizenship', 'American']",American
202,The country of citizenship of Saw Yun is,The country of citizenship of the spouse of Saw Hnaung of Sagaing is,Saw Yun,the spouse of Saw Hnaung of Sagaing,"['Saw Hnaung of Sagaing', 'spouse', 'Saw Yun']","['Saw Yun', 'country of citizenship', 'Myanmar']",Myanmar
203,"The date of death of Sir Henry Vane-Tempest, 2nd Baronet is","The date of death of the father of Frances Anne Vane, Marchioness of Londonderry is","Sir Henry Vane-Tempest, 2nd Baronet","the father of Frances Anne Vane, Marchioness of Londonderry","['Frances Anne Vane, Marchioness of Londonderry', 'father', 'Sir Henry Vane-Tempest, 2nd Baronet']","['Sir Henry Vane-Tempest, 2nd Baronet', 'date of death', '1 August 1813']",1 August 1813
204,The place of death of George Gershwin is,The place of death of the composer of Let's Call the Whole Thing Off is,George Gershwin,the composer of Let's Call the Whole Thing Off,"[""Let's Call the Whole Thing Off"", 'composer', 'George Gershwin']","['George Gershwin', 'place of death', 'Hollywood']",Hollywood
205,"The date of death of Richard Annesley, 2nd Earl Annesley is",The date of death of the father of William Richard Annesley is,"Richard Annesley, 2nd Earl Annesley",the father of William Richard Annesley,"['William Richard Annesley', 'father', 'Richard Annesley, 2nd Earl Annesley']","['Richard Annesley, 2nd Earl Annesley', 'date of death', '9 November 1824']",9 November 1824
206,"The date of birth of Henry Prittie, 1st Baron Dunalley is","The date of birth of the father of Henry Prittie, 2nd Baron Dunalley is","Henry Prittie, 1st Baron Dunalley","the father of Henry Prittie, 2nd Baron Dunalley","['Henry Prittie, 2nd Baron Dunalley', 'father', 'Henry Prittie, 1st Baron Dunalley']","['Henry Prittie, 1st Baron Dunalley', 'date of birth', '3 October 1743']",3 October 1743
207,The spouse of Lauryn Hill is,The spouse of the performer of Neurotic Society is,Lauryn Hill,the performer of Neurotic Society,"['Neurotic Society', 'performer', 'Lauryn Hill']","['Lauryn Hill', 'spouse', 'Rohan Marley']",Rohan Marley
208,The date of death of Liu Yilong is,The date of death of the spouse of Yuan Qigui is,Liu Yilong,the spouse of Yuan Qigui,"['Yuan Qigui', 'spouse', 'Liu Yilong']","['Liu Yilong', 'date of death', '453']",453
209,The place of birth of Harry Piel is,The place of birth of the director of The White Terror is,Harry Piel,the director of The White Terror,"['The White Terror', 'director', 'Harry Piel']","['Harry Piel', 'place of birth', 'Düsseldorf']",Düsseldorf
210,The country of citizenship of Ralph Benatzky is,The country of citizenship of the composer of La hostería del caballito blanco is,Ralph Benatzky,the composer of La hostería del caballito blanco,"['La hostería del caballito blanco', 'composer', 'Ralph Benatzky']","['Ralph Benatzky', 'country of citizenship', 'Czech']",Czech
211,The place of death of Piero Tellini is,The place of death of the director of Nel blu dipinto di blu is,Piero Tellini,the director of Nel blu dipinto di blu,"['Nel blu dipinto di blu', 'director', 'Piero Tellini']","['Piero Tellini', 'place of death', 'Florence']",Florence
212,The place of death of Harald Hardrada is,The place of death of the father of Magnus II of Norway is,Harald Hardrada,the father of Magnus II of Norway,"['Magnus II of Norway', 'father', 'Harald Hardrada']","['Harald Hardrada', 'place of death', 'Stamford Bridge']",Stamford Bridge
213,The place of birth of John Paddy Carstairs is,The place of birth of the director of Top of the Form is,John Paddy Carstairs,the director of Top of the Form,"['Top of the Form', 'director', 'John Paddy Carstairs']","['John Paddy Carstairs', 'place of birth', 'London']",London
214,The spouse of Guy Newall is,The spouse of the director of Rodney Steps In is,Guy Newall,the director of Rodney Steps In,"['Rodney Steps In', 'director', 'Guy Newall']","['Guy Newall', 'spouse', 'Ivy Duke']",Ivy Duke
215,"The date of death of Elizabeth Waldegrave, Countess Waldegrave is",The date of death of the mother of George Waldegrave is,"Elizabeth Waldegrave, Countess Waldegrave",the mother of George Waldegrave,"['George Waldegrave', 'mother', 'Elizabeth Waldegrave, Countess Waldegrave']","['Elizabeth Waldegrave, Countess Waldegrave', 'date of death', '29 January 1816']",29 January 1816
216,The date of birth of William Edwin Bell is,The date of birth of the spouse of Ting-Xing Ye is,William Edwin Bell,the spouse of Ting-Xing Ye,"['Ting-Xing Ye', 'spouse', 'William E. Bell']","['William Edwin Bell', 'date of birth', '27 October 1945']",27 October 1945
217,The country of citizenship of Shaan is,The country of citizenship of the performer of Harabo Toke is,Shaan,the performer of Harabo Toke,"['Harabo Toke', 'performer', 'Shaan']","['Shaan', 'country of citizenship', 'India']",India
218,The place of death of Hippias is,The place of death of the father of Aphareus is,Hippias,the father of Aphareus,"['Aphareus', 'father', 'Hippias']","['Hippias', 'place of death', 'Elis']",Elis
219,The country of citizenship of John Reinhardt is,The country of citizenship of the director of El día que me quieras is,John Reinhardt,the director of El día que me quieras,"['El día que me quieras', 'director', 'John Reinhardt']","['John Reinhardt', 'country of citizenship', 'American']",American
220,The place of birth of Henry the Fowler is,The place of birth of the spouse of Hatheburg (also Hatheburch) (* 876 in Merseburg is,Henry the Fowler,the spouse of Hatheburg (also Hatheburch) (* 876 in Merseburg,"['Hatheburg (also Hatheburch) (* 876 in Merseburg', 'spouse', 'Henry the Fowler']","['Henry the Fowler', 'place of birth', 'Saxony']",Saxony
221,The country of citizenship of Pearry Reginald Teo is,The country of citizenship of the director of Witchville is,Pearry Reginald Teo,the director of Witchville,"['Witchville', 'director', 'Pearry Reginald Teo']","['Pearry Reginald Teo', 'country of citizenship', 'Singaporean']",Singaporean
222,The date of death of Maurice Cloche is,The date of death of the director of Women's Games is,Maurice Cloche,the director of Women's Games,"[""Women's Games"", 'director', 'Maurice Cloche']","['Maurice Cloche', 'date of death', 'March 20, 1990']","March 20, 1990"
223,The father of George II is,The father of the founded by of University of Göttingen is,George II,the founded by of University of Göttingen,"['University of Göttingen', 'founded by', 'George II']","['George II', 'father', 'George I of Great Britain']",George I of Great Britain
224,The place of birth of John W. Blodgett is,The place of birth of the spouse of Minnie Cumnock Blodgett is,John W. Blodgett,the spouse of Minnie Cumnock Blodgett,"['Minnie Cumnock Blodgett', 'spouse', 'John W. Blodgett']","['John W. Blodgett', 'place of birth', 'Hersey, Michigan']","Hersey, Michigan"
225,The cause of death of Vladimir of Staritsa is,The cause of death of the father of Maria Vladimirovna of Staritsa is,Vladimir of Staritsa,the father of Maria Vladimirovna of Staritsa,"['Maria Vladimirovna of Staritsa', 'father', 'Vladimir of Staritsa']","['Vladimir of Staritsa', 'cause of death', 'poison']",poison
226,The date of birth of Edward Venables-Vernon-Harcourt is,The date of birth of the father of Octavius Henry Cyril Vernon Harcourt is,Edward Venables-Vernon-Harcourt,the father of Octavius Henry Cyril Vernon Harcourt,"['Octavius Henry Cyril Vernon Harcourt', 'father', 'Edward Venables-Vernon-Harcourt']","['Edward Venables-Vernon-Harcourt', 'date of birth', '10 October 1757']",10 October 1757
227,The date of birth of Max McGraw is,The date of birth of the founded by of McGraw Electric is,Max McGraw,the founded by of McGraw Electric,"['McGraw Electric', 'founded by', 'Max McGraw']","['Max McGraw', 'date of birth', '1 February 1883']",1 February 1883
228,The country of citizenship of Bona Sforza is,The country of citizenship of the mother of Anna Jagiellon is,Bona Sforza,the mother of Anna Jagiellon,"['Anna Jagiellon', 'mother', 'Bona Sforza']","['Bona Sforza', 'country of citizenship', 'Duchy of Milan']",Duchy of Milan
229,The country of citizenship of Karl von Habsburg is,The country of citizenship of the spouse of Francesca von Habsburg is,Karl von Habsburg,the spouse of Francesca von Habsburg,"['Francesca von Habsburg', 'spouse', 'Karl von Habsburg']","['Karl von Habsburg', 'country of citizenship', 'Austria']",Austria
230,The date of death of Francesco I Crispo is,The date of death of the father of William II Crispo is,Francesco I Crispo,the father of William II Crispo,"['William II Crispo', 'father', 'Francesco I Crispo']","['Francesco I Crispo', 'date of death', '1397']",1397
231,The place of birth of Małgorzata Szumowska is,The place of birth of the director of 33 Scenes From Life is,Małgorzata Szumowska,the director of 33 Scenes From Life,"['33 Scenes From Life', 'director', 'Małgorzata Szumowska']","['Małgorzata Szumowska', 'place of birth', 'Kraków']",Kraków
232,The place of birth of Roel Reiné is,The place of birth of the director of Pistol Whipped is,Roel Reiné,the director of Pistol Whipped,"['Pistol Whipped', 'director', 'Roel Reiné']","['Roel Reiné', 'place of birth', 'Dutch']",Dutch
233,The place of death of Ralph Habib is,The place of death of the director of Women's Club is,Ralph Habib,the director of Women's Club,"[""Women's Club"", 'director', 'Ralph Habib']","['Ralph Habib', 'place of death', 'Paris']",Paris
234,The place of birth of Édouard Brissaud is,The place of birth of the father of Pierre Brissaud is,Édouard Brissaud,the father of Pierre Brissaud,"['Pierre Brissaud', 'father', 'Edouard Brissaud']","['Édouard Brissaud', 'place of birth', 'Besançon']",Besançon
235,The place of birth of William Clemens is,The place of birth of the director of Crime by Night is,William Clemens,the director of Crime by Night,"['Crime by Night', 'director', 'William Clemens']","['William Clemens', 'place of birth', 'Saginaw, Michigan']","Saginaw, Michigan"
236,The place of birth of Ted Geoghegan is,The place of birth of the director of Mohawk is,Ted Geoghegan,the director of Mohawk,"['Mohawk', 'director', 'Ted Geoghegan']","['Ted Geoghegan', 'place of birth', 'Beaverton']",Beaverton
237,The place of birth of Marina Semyonova is,The place of birth of the spouse of Lev Mikhailovich Karakhan is,Marina Semyonova,the spouse of Lev Mikhailovich Karakhan,"['Lev Mikhailovich Karakhan', 'spouse', 'Marina Semyonova']","['Marina Semyonova', 'place of birth', 'Petersburg']",Petersburg
238,The spouse of Brian Tse is,The spouse of the director of McDull: Me & My Mum is,Brian Tse,the director of McDull: Me & My Mum,"['McDull: Me & My Mum', 'director', 'Brian Tse']","['Brian Tse', 'spouse', 'Alice Mak']",Alice Mak
239,The mother of Damian Harris is,The mother of the director of Bad Company is,Damian Harris,the director of Bad Company,"['Bad Company', 'director', 'Damian Harris']","['Damian Harris', 'mother', 'Elizabeth Rees-Williams']",Elizabeth Rees-Williams
240,The mother of Lisa Azuelos is,The mother of the director of Dalida is,Lisa Azuelos,the director of Dalida,"['Dalida', 'director', 'Lisa Azuelos']","['Lisa Azuelos', 'mother', 'Marie Laforêt']",Marie Laforêt
241,The country of citizenship of Marie Louise Gonzaga is,The country of citizenship of the mother of Maria Anna Theresa Vasa is,Marie Louise Gonzaga,the mother of Maria Anna Theresa Vasa,"['Maria Anna Theresa Vasa', 'mother', 'Marie Louise Gonzaga']","['Marie Louise Gonzaga', 'country of citizenship', 'Polish-Lithuanian Commonwealth']",Polish-Lithuanian Commonwealth
242,The country of citizenship of Barbara of Brandenburg is,The country of citizenship of the mother of Gianfrancesco Gonzaga is,Barbara of Brandenburg,the mother of Gianfrancesco Gonzaga,"['Gianfrancesco Gonzaga', 'mother', 'Barbara of Brandenburg']","['Barbara of Brandenburg', 'country of citizenship', 'Germany']",Germany
243,The country of citizenship of Barbra Streisand is,"The country of citizenship of the performer of Papa, Can You Hear Me? is",Barbra Streisand,"the performer of Papa, Can You Hear Me?","['Papa, Can You Hear Me?', 'performer', 'Barbra Streisand']","['Barbra Streisand', 'country of citizenship', 'America']",America
244,The place of death of Paul Allen is,The place of death of the founded by of Interval Research Corporation is,Paul Allen,the founded by of Interval Research Corporation,"['Interval Research Corporation', 'founded by', 'Paul Allen']","['Paul Allen', 'place of death', 'Seattle']",Seattle
245,The place of birth of Poppaea Sabina is,The place of birth of the mother of Claudia Augusta is,Poppaea Sabina,the mother of Claudia Augusta,"['Claudia Augusta', 'mother', 'Poppaea Sabina']","['Poppaea Sabina', 'place of birth', 'Pompeii']",Pompeii
246,The place of birth of Lana Del Rey is,The place of birth of the performer of Yayo is,Lana Del Rey,the performer of Yayo,"['Yayo', 'performer', 'Lana Del Rey']","['Lana Del Rey', 'place of birth', 'New York']",New York
247,The place of death of Franklin W. Olin is,The place of death of the father of John Merrill Olin is,Franklin W. Olin,the father of John Merrill Olin,"['John Merrill Olin', 'father', 'Franklin W. Olin']","['Franklin W. Olin', 'place of death', 'St. Louis']",St. Louis
248,The country of citizenship of Louis Ralph is,The country of citizenship of the director of Our Emden is,Louis Ralph,the director of Our Emden,"['Our Emden', 'director', 'Louis Ralph']","['Louis Ralph', 'country of citizenship', 'Austria']",Austria
249,The place of birth of Björk is,The place of birth of the composer of Unravel is,Björk,the composer of Unravel,"['Unravel', 'composer', 'Björk']","['Björk', 'place of birth', 'Reykjavík']",Reykjavík
250,The date of birth of Helene Hegemann is,The date of birth of the director of Axolotl Overkill is,Helene Hegemann,the director of Axolotl Overkill,"['Axolotl Overkill', 'director', 'Helene Hegemann']","['Helene Hegemann', 'date of birth', '19 February 1992']",19 February 1992
251,"The country of citizenship of Thomas Lyon-Bowes, 11th Earl of Strathmore and Kinghorne is","The country of citizenship of the father of Thomas George Lyon-Bowes, Lord Glamis is","Thomas Lyon-Bowes, 11th Earl of Strathmore and Kinghorne","the father of Thomas George Lyon-Bowes, Lord Glamis","['Thomas George Lyon-Bowes, Lord Glamis', 'father', 'Thomas Lyon-Bowes, 11th Earl of Strathmore and Kinghorne']","['Thomas Lyon-Bowes, 11th Earl of Strathmore and Kinghorne', 'country of citizenship', 'British']",British
252,The place of birth of Aleksa Gajić is,The place of birth of the director of Technotise: Edit & I is,Aleksa Gajić,the director of Technotise: Edit & I,"['Technotise: Edit & I', 'director', 'Aleksa Gajić']","['Aleksa Gajić', 'place of birth', 'Belgrade']",Belgrade
253,The date of death of Grace Kelly is,The date of death of the mother of Princess Stéphanie of Monaco is,Grace Kelly,the mother of Princess Stéphanie of Monaco,"['Princess Stéphanie of Monaco', 'mother', 'Grace Kelly']","['Grace Kelly', 'date of death', 'September 14, 1982']","September 14, 1982"
254,The country of citizenship of Ryan Briscoe is,The country of citizenship of the spouse of Nicole Briscoe is,Ryan Briscoe,the spouse of Nicole Briscoe,"['Nicole Briscoe', 'spouse', 'Ryan Briscoe']","['Ryan Briscoe', 'country of citizenship', 'Australian']",Australian
255,The place of death of Michael Truman is,The place of death of the director of Girl in the Headlines is,Michael Truman,the director of Girl in the Headlines,"['Girl in the Headlines', 'director', 'Michael Truman']","['Michael Truman', 'place of death', 'Newbury, Berkshire']","Newbury, Berkshire"
256,Theodore Dwight Woolsey was educated at,The father of Theodore Salisbury Woolsey was educated at,Theodore Dwight Woolsey,the father of Theodore Salisbury Woolsey,"['Theodore Salisbury Woolsey', 'father', 'Theodore Dwight Woolsey']","['Theodore Dwight Woolsey', 'educated at', 'Yale College']",Yale College
257,The student of of Franz Schubert is,The student of of the composer of Prometheus is,Franz Schubert,the composer of Prometheus,"['Prometheus', 'composer', 'Franz Schubert']","['Franz Schubert', 'student of', 'Antonio Salieri']",Antonio Salieri
258,The place of birth of Prince Ludwig of Löwenstein-Wertheim-Freudenberg is,The place of birth of the spouse of Princess Anne of Löwenstein-Wertheim-Freudenberg is,Prince Ludwig of Löwenstein-Wertheim-Freudenberg,the spouse of Princess Anne of Löwenstein-Wertheim-Freudenberg,"['Princess Anne of Löwenstein-Wertheim-Freudenberg', 'spouse', 'Prince Ludwig of Löwenstein-Wertheim-Freudenberg']","['Prince Ludwig of Löwenstein-Wertheim-Freudenberg', 'place of birth', 'Kreuzwertheim']",Kreuzwertheim
259,The place of birth of Duke Louis of Württemberg is,The place of birth of the father of Duchess Maria Dorothea of Württemberg is,Duke Louis of Württemberg,the father of Duchess Maria Dorothea of Württemberg,"['Duchess Maria Dorothea of Württemberg', 'father', 'Duke Louis of Württemberg']","['Duke Louis of Württemberg', 'place of birth', 'Treptow an der Rega']",Treptow an der Rega
260,The place of birth of Călin Peter Netzer is,The place of birth of the director of Medal of Honor is,Călin Peter Netzer,the director of Medal of Honor,"['Medal of Honor', 'director', 'Călin Peter Netzer']","['Călin Peter Netzer', 'place of birth', 'Petroșani']",Petroșani
261,The place of death of Colin Low is,The place of death of the director of Circle of the Sun is,Colin Low,the director of Circle of the Sun,"['Circle of the Sun', 'director', 'Colin Low']","['Colin Low', 'place of death', 'Montreal']",Montreal
262,The place of death of Frank O'Connor is,The place of death of the director of Spangles is,Frank O'Connor,the director of Spangles,"['Spangles', 'director', ""Frank O'Connor""]","[""Frank O'Connor"", 'place of death', 'L.A.']",L.A.
263,The employer of Christophe Honoré is,The employer of the director of Man at Bath is,Christophe Honoré,the director of Man at Bath,"['Man at Bath', 'director', 'Christophe Honoré']","['Christophe Honoré', 'employer', 'Cahiers du cinéma']",Cahiers du cinéma
264,The country of citizenship of Massari is,The country of citizenship of the performer of Latin Moon is,Massari,the performer of Latin Moon,"['Latin Moon', 'performer', 'Massari']","['Massari', 'country of citizenship', 'Lebanese']",Lebanese
265,The place of birth of Tony Bettenhausen is,The place of birth of the father of Tony Lee Bettenhausen Jr. is,Tony Bettenhausen,the father of Tony Lee Bettenhausen Jr.,"['Tony Lee Bettenhausen Jr.', 'father', 'Tony Bettenhausen']","['Tony Bettenhausen', 'place of birth', 'Tinley Park']",Tinley Park
266,The place of death of Ricardo Becher is,The place of death of the director of Back Long Ago is,Ricardo Becher,the director of Back Long Ago,"['Back Long Ago', 'director', 'Ricardo Becher']","['Ricardo Becher', 'place of death', 'Buenos Aires']",Buenos Aires
267,The place of birth of Philip Pendleton Barbour is,The place of birth of the father of Sextus Barbour is,Philip Pendleton Barbour,the father of Sextus Barbour,"['Sextus Barbour', 'father', 'Philip Pendleton Barbour']","['Philip Pendleton Barbour', 'place of birth', 'Gordonsville, Virginia']","Gordonsville, Virginia"
268,The place of birth of David Lloyd George is,The place of birth of the spouse of Margaret Lloyd George is,David Lloyd George,the spouse of Margaret Lloyd George,"['Margaret Lloyd George', 'spouse', 'David Lloyd George']","['David Lloyd George', 'place of birth', 'Manchester']",Manchester
269,The country of citizenship of Tao Ruspoli is,The country of citizenship of the director of Fix is,Tao Ruspoli,the director of Fix,"['Fix', 'director', 'Tao Ruspoli']","['Tao Ruspoli', 'country of citizenship', 'American']",American
270,The spouse of Rosanne Cash is,The spouse of the performer of Hold On is,Rosanne Cash,the performer of Hold On,"['Hold On', 'performer', 'Rosanne Cash']","['Rosanne Cash', 'spouse', 'John Leventhal']",John Leventhal
271,The place of death of Andy Williams is,The place of death of the performer of I Can Sing a Rainbow is,Andy Williams,the performer of I Can Sing a Rainbow,"['I Can Sing a Rainbow', 'performer', 'Andy Williams']","['Andy Williams', 'place of death', 'Branson, Missouri']","Branson, Missouri"
272,Nisha Ganatra was educated at,The director of Late Night was educated at,Nisha Ganatra,the director of Late Night,"['Late Night', 'director', 'Nisha Ganatra']","['Nisha Ganatra', 'educated at', 'Tisch']",Tisch
273,The place of birth of H. R. Bhargava is,The place of birth of the director of Nammoora Raja is,H. R. Bhargava,the director of Nammoora Raja,"['Nammoora Raja', 'director', 'H. R. Bhargava']","['H. R. Bhargava', 'place of birth', 'Hunsur']",Hunsur
274,The employer of Nathaniel Wallich is,The employer of the father of George Charles Wallich is,Nathaniel Wallich,the father of George Charles Wallich,"['George Charles Wallich', 'father', 'Nathaniel Wallich']","['Nathaniel Wallich', 'employer', 'Calcutta Botanical Garden']",Calcutta Botanical Garden
275,The place of birth of John Francis Dillon is,"The place of birth of the director of Smile, Brother, Smile is",John Francis Dillon,"the director of Smile, Brother, Smile","['Smile, Brother, Smile', 'director', 'John Francis Dillon']","['John Francis Dillon', 'place of birth', 'New York']",New York
276,The place of birth of Danny O'Keefe is,The place of birth of the performer of Good Time Charlie's Got the Blues is,Danny O'Keefe,the performer of Good Time Charlie's Got the Blues,"[""Good Time Charlie's Got the Blues"", 'performer', ""Danny O'Keefe""]","[""Danny O'Keefe"", 'place of birth', 'Spokane, Washington']","Spokane, Washington"
277,The place of birth of Julia Michaels is,The place of birth of the performer of Jump is,Julia Michaels,the performer of Jump,"['Jump', 'performer', 'Julia Michaels']","['Julia Michaels', 'place of birth', 'Davenport']",Davenport
278,The place of birth of Les Mayfield is,The place of birth of the director of Code Name: The Cleaner is,Les Mayfield,the director of Code Name: The Cleaner,"['Code Name: The Cleaner', 'director', 'Les Mayfield']","['Les Mayfield', 'place of birth', 'Albuquerque, New Mexico']","Albuquerque, New Mexico"
279,The place of birth of Bashar Warda is,The place of birth of the founded by of Catholic University in Erbil is,Bashar Warda,the founded by of Catholic University in Erbil,"['Catholic University in Erbil', 'founded by', 'Bashar Warda']","['Bashar Warda', 'place of birth', 'Baghdad']",Baghdad
280,The place of death of Juliana of Stolberg is,The place of death of the mother of Louis of Nassau is,Juliana of Stolberg,the mother of Louis of Nassau,"['Louis of Nassau', 'mother', 'Juliana of Stolberg']","['Juliana of Stolberg', 'place of death', 'Dillenburg']",Dillenburg
281,The place of birth of Mary McGuckian is,The place of birth of the director of Inconceivable is,Mary McGuckian,the director of Inconceivable,"['Inconceivable', 'director', 'Mary McGuckian']","['Mary McGuckian', 'place of birth', 'Northern Ireland']",Northern Ireland
282,The place of birth of Edmund Ironside is,The place of birth of the father of Edward the Exile is,Edmund Ironside,the father of Edward the Exile,"['Edward the Exile', 'father', 'Edmund Ironside']","['Edmund Ironside', 'place of birth', 'Wessex']",Wessex
283,Bommarillu Bhaskar was educated at,The director of Bangalore Days was educated at,Bommarillu Bhaskar,the director of Bangalore Days,"['Bangalore Days', 'director', 'Bommarillu Bhaskar']","['Bommarillu Bhaskar', 'educated at', 'Film and Television Institute of Tamil Nadu']",Film and Television Institute of Tamil Nadu
284,The place of burial of Herod the Great is,The place of burial of the spouse of Cleopatra of Jerusalem is,Herod the Great,the spouse of Cleopatra of Jerusalem,"['Cleopatra of Jerusalem', 'spouse', 'Herod the Great']","['Herod the Great', 'place of burial', 'Herodium']",Herodium
285,"The date of birth of William I, Count of Holland is",The date of birth of the father of Otto van Holland is,"William I, Count of Holland",the father of Otto van Holland,"['Otto van Holland', 'father', 'William I, Count of Holland']","['William I, Count of Holland', 'date of birth', '1167']",1167
286,The place of birth of Adelqui Migliar is,The place of birth of the director of Pages of Life is,Adelqui Migliar,the director of Pages of Life,"['Pages of Life', 'director', 'Adelqui Migliar']","['Adelqui Migliar', 'place of birth', 'Concepción']",Concepción
287,The place of birth of Binnya U is,The place of birth of the father of Baw Ngan-Mohn is,Binnya U,the father of Baw Ngan-Mohn,"['Baw Ngan-Mohn', 'father', 'Binnya U']","['Binnya U', 'place of birth', 'Martaban']",Martaban
288,Julius Sang was educated at,The spouse of Tekla Chemabwai was educated at,Julius Sang,the spouse of Tekla Chemabwai,"['Tekla Chemabwai', 'spouse', 'Julius Sang']","['Julius Sang', 'educated at', 'North Carolina Central University']",North Carolina Central University
289,Julius Rockwell was educated at,The father of Francis Williams Rockwell was educated at,Julius Rockwell,the father of Francis Williams Rockwell,"['Francis Williams Rockwell', 'father', 'Julius Rockwell']","['Julius Rockwell', 'educated at', 'Yale']",Yale
290,The place of death of José Saramago is,The place of death of the spouse of Pilar del Río is,José Saramago,the spouse of Pilar del Río,"['Pilar del Río', 'spouse', 'José Saramago']","['José Saramago', 'place of death', 'Lanzarote']",Lanzarote
291,The father of Oskar Roehler is,The father of the director of Sources of Life is,Oskar Roehler,the director of Sources of Life,"['Sources of Life', 'director', 'Oskar Roehler']","['Oskar Roehler', 'father', 'Klaus Roehler']",Klaus Roehler
292,Jan Łomnicki was educated at,The director of Akcja pod Arsenałem was educated at,Jan Łomnicki,the director of Akcja pod Arsenałem,"['Akcja pod Arsenałem', 'director', 'Jan Łomnicki']","['Jan Łomnicki', 'educated at', 'National Film School in Łódź']",National Film School in Łódź
293,The place of death of Karunanidhi is,The place of death of the father of M. K. Muthu is,Karunanidhi,the father of M. K. Muthu,"['M. K. Muthu', 'father', 'Karunanidhi']","['Karunanidhi', 'place of death', 'kauvery hospital']",kauvery hospital
294,"The date of death of Charles Augustus, Hereditary Grand Duke of Saxe-Weimar-Eisenach is",The date of death of the spouse of Princess Pauline of Saxe-Weimar-Eisenach is,"Charles Augustus, Hereditary Grand Duke of Saxe-Weimar-Eisenach",the spouse of Princess Pauline of Saxe-Weimar-Eisenach,"['Princess Pauline of Saxe-Weimar-Eisenach', 'spouse', 'Charles Augustus, Hereditary Grand Duke of Saxe-Weimar-Eisenach']","['Charles Augustus, Hereditary Grand Duke of Saxe-Weimar-Eisenach', 'date of death', '20 November 1894']",20 November 1894
295,The country of citizenship of Mark Burnett is,The country of citizenship of the creator of Pirate Master is,Mark Burnett,the creator of Pirate Master,"['Pirate Master', 'creator', 'Mark Burnett']","['Mark Burnett', 'country of citizenship', 'British']",British
296,The place of birth of William Penn is,The place of birth of the father of John Penn is,William Penn,the father of John Penn,"['John Penn', 'father', 'William Penn']","['William Penn', 'place of birth', 'London']",London
297,Jack Lee was educated at,The director of The Woman in the Hall was educated at,Jack Lee,the director of The Woman in the Hall,"['The Woman in the Hall', 'director', 'Jack Lee']","['Jack Lee', 'educated at', 'Marling School']",Marling School
298,The place of burial of Curtis Bernhardt is,The place of burial of the director of The Tunnel is,Curtis Bernhardt,the director of The Tunnel,"['The Tunnel', 'director', 'Curtis Bernhardt']","['Curtis Bernhardt', 'place of burial', 'Forest Lawn Memorial Park']",Forest Lawn Memorial Park
299,The place of death of Karl Aloys zu Fürstenberg is,The place of death of the spouse of Elisabeth zu Fürstenberg is,Karl Aloys zu Fürstenberg,the spouse of Elisabeth zu Fürstenberg,"['Elisabeth zu Fürstenberg', 'spouse', 'Karl Aloys zu Fürstenberg']","['Karl Aloys zu Fürstenberg', 'place of death', 'Stockach']",Stockach
300,The place of death of Luigi Zampa is,The place of death of the director of L'attore scomparso is,Luigi Zampa,the director of L'attore scomparso,"[""L'attore scomparso"", 'director', 'Luigi Zampa']","['Luigi Zampa', 'place of death', 'Rome']",Rome
301,The country of citizenship of Akiko Matsuura is,The country of citizenship of the has part of Pre is,Akiko Matsuura,the has part of Pre,"['Pre', 'has part', 'Akiko Matsuura']","['Akiko Matsuura', 'country of citizenship', 'Japan']",Japan
